統計期,總計,汽車,大客車,大客車 /自用,大客車 /營業,大客車 /營業 /遊覽車,大客車 /營業 /營業（不含遊覽車）,大貨車,大貨車 /自用,大貨車 /營業,小客車,小客車 /自用,小客車 /營業,小客車 /營業 /租賃,小客車 /營業 /計程車,小客車 /營業 /其他營業小客車,小貨車,小貨車 /自用,小貨車 /營業,小貨車 /營業 /租賃,小貨車 /營業 /營業（不含租賃）,特種車,警備車,救護車,消防車,郵車,其他,機車,機車重型,大型重型,大型重型550cc以上,大型重型未滿550cc,普通重型,機車輕型,小型輕型,普通輕型
110年 2月,70473,27171,110,6,104,67,37,624,311,313,23598,20983,2615,2251,364,,2536,1985,551,422,129,303,3,7,12,,281,43302,43219,963,314,649,42256,83,2,81
110年 3月,113970,43220,121,4,117,112,5,1061,496,565,37344,32650,4694,4017,677,,4184,3214,970,758,212,510,8,12,9,,481,70750,69422,1755,478,1277,67667,1328,,1328
110年 4月,100998,37900,141,3,138,94,44,1018,441,577,32288,27687,4601,4042,559,,3992,2982,1010,748,262,461,3,15,7,,436,63098,62111,2564,965,1599,59547,987,2,985
110年 5月,91054,34402,159,7,152,50,102,1116,494,622,28975,24837,4138,3793,345,,3696,2763,933,685,248,456,11,23,3,,419,56652,55846,2522,1041,1481,53324,806,,806
110年 6月,75101,27930,47,3,44,5,39,1118,523,595,23002,20036,2966,2839,127,,3508,2596,912,576,336,255,5,13,9,,228,47171,46699,2637,1055,1582,44062,472,,472
110年 7月,101203,38061,60,5,55,9,46,1173,512,661,32144,28726,3418,3240,175,3,4270,3231,1039,671,368,414,9,19,9,,377,63142,62414,2118,706,1412,60296,728,,728
110年 8月,99752,33147,105,8,97,42,55,989,444,545,28173,25268,2905,2653,251,1,3426,2468,958,597,361,454,20,22,7,,405,66605,65700,2206,770,1436,63494,905,,905
110年 9月,117926,41131,80,6,74,51,23,1191,538,653,34878,30968,3910,3567,341,2,4361,3351,1010,676,334,621,8,20,11,70,512,76795,75178,2856,1138,1718,72322,1617,,1617
110年 10月,113047,35290,73,8,65,47,18,1048,488,560,29985,26966,3019,2654,362,3,3707,2834,873,624,249,477,11,19,53,,394,77757,76104,2405,1065,1340,73699,1653,,1653
110年 11月,130348,40102,125,11,114,73,41,1118,540,578,34057,30263,3794,3335,455,4,4048,3057,991,712,279,754,3,36,42,158,515,90246,88765,2429,986,1443,86336,1481,1,1480
110年 12月,141512,40305,160,7,153,36,117,1109,585,524,33540,30055,3485,3073,402,10,4993,3350,1643,1121,522,503,2,51,32,140,278,101207,98964,2179,711,1468,96785,2243,1,2242
111年 1月,86337,40623,163,7,156,97,59,724,351,373,36248,31820,4428,3999,427,2,3323,2616,707,481,226,165,,7,19,,139,45714,45349,1950,664,1286,43399,365,,365
111年 2月,68881,24278,139,3,136,41,95,600,236,364,20572,18255,2317,2005,311,1,2836,2262,574,474,100,131,,8,9,,114,44603,43902,1007,396,611,42895,701,,701
111年 3月,110525,39441,231,8,223,92,131,923,381,542,33495,29582,3913,3414,498,1,4538,3475,1063,670,393,254,3,17,11,,223,71084,69184,3066,1091,1975,66118,1900,,1900
111年 4月,93328,35253,123,2,121,49,72,761,332,429,29657,26003,3654,3239,414,1,4455,3541,914,599,315,257,6,7,3,5,236,58075,57310,2017,790,1227,55293,765,,765
111年 5月,79827,30920,63,12,51,19,32,898,363,535,25542,22186,3356,3027,323,6,4199,3163,1036,626,410,218,4,16,3,,195,48907,47667,2052,647,1405,45615,1240,,1240
