統計期,總計,汽車,大客車,大客車 /自用,大客車 /營業,大客車 /營業 /遊覽車,大客車 /營業 /營業（不含遊覽車）,大貨車,大貨車 /自用,大貨車 /營業,小客車,小客車 /自用,小客車 /營業,小客車 /營業 /租賃,小客車 /營業 /計程車,小客車 /營業 /其他營業小客車,小貨車,小貨車 /自用,小貨車 /營業,小貨車 /營業 /租賃,小貨車 /營業 /營業（不含租賃）,特種車,警備車,救護車,消防車,郵車,其他,機車,機車重型,大型重型,大型重型550cc以上,大型重型未滿550cc,普通重型,機車輕型,小型輕型,普通輕型
101年 3月,85982,32983,342,10,332,154,178,491,170,321,28781,24719,4062,3203,859,,3149,2515,634,560,74,220,2,17,14,,187,52999,51577,383,291,92,51194,1422,38,1384
101年 4月,73091,28613,234,3,231,154,77,501,152,349,25194,21505,3689,2817,872,,2444,1859,585,502,83,240,9,7,26,,198,44478,43123,392,252,140,42731,1355,13,1342
101年 5月,81155,31213,284,6,278,117,161,629,227,402,27378,23052,4326,3373,953,,2494,1757,737,585,152,428,9,21,19,,379,49942,48746,462,373,89,48284,1196,14,1182
101年 6月,83712,30278,302,4,298,141,157,567,212,355,26807,22857,3950,3025,925,,2210,1590,620,551,69,392,23,28,6,,335,53434,52528,414,306,108,52114,906,16,890
101年 7月,102620,40840,396,14,382,110,272,514,247,267,36761,32711,4050,3159,891,,2645,1975,670,590,80,524,34,26,17,,447,61780,60705,469,323,146,60236,1075,12,1063
101年 8月,87893,25824,290,10,280,103,177,496,270,226,22232,19779,2453,2024,429,,2331,1508,823,670,153,475,6,31,6,152,280,62069,60823,548,340,208,60275,1246,56,1190
101年 9月,99131,21985,414,10,404,178,226,414,215,199,18665,16388,2277,1944,333,,2169,1552,617,500,117,323,25,19,5,74,200,77146,76111,743,350,393,75368,1035,5,1030
101年 10月,86601,28092,433,4,429,144,285,415,192,223,24521,21814,2707,2323,384,,2353,1709,644,565,79,370,9,20,24,,317,58509,57462,803,419,384,56659,1047,7,1040
101年 11月,70768,28726,373,7,366,109,257,510,233,277,25225,22616,2609,2198,411,,2285,1660,625,544,81,333,2,28,22,23,258,42042,41361,761,397,364,40600,681,53,628
101年 12月,71512,34508,427,3,424,144,280,524,304,220,30794,27896,2898,2570,328,,2371,1609,762,558,204,392,3,39,52,20,278,37004,36699,679,399,280,36020,305,10,295
102年 1月,93711,42599,223,11,212,155,57,399,222,177,38645,33682,4963,4106,857,,3208,2377,831,666,165,124,,9,3,,112,51112,50593,877,400,477,49716,519,17,502
102年 2月,60923,20214,155,4,151,99,52,221,121,100,18385,16050,2335,1836,499,,1379,1015,364,312,52,74,,4,,,70,40709,40171,750,212,538,39421,538,19,519
102年 3月,85274,27473,240,3,237,155,82,485,194,291,24024,20487,3537,2733,804,,2585,1846,739,614,125,139,1,3,7,,128,57801,56696,949,343,606,55747,1105,22,1083
102年 4月,79380,28844,249,8,241,162,79,437,171,266,25706,22309,3397,2616,781,,2229,1682,547,395,152,223,6,11,3,,203,50536,49815,1206,422,784,48609,721,28,693
102年 5月,82849,30617,145,1,144,71,73,491,167,324,27657,24020,3637,2913,724,,2134,1624,510,395,115,190,8,10,1,,171,52232,51198,1144,433,711,50054,1034,18,1016
102年 6月,95831,32580,264,2,262,76,186,373,161,212,29435,25532,3903,3206,697,,2233,1697,536,429,107,275,25,14,3,,233,63251,62241,1077,432,645,61164,1010,20,990
102年 7月,110305,39968,276,2,274,68,206,415,171,244,36243,31789,4454,3568,886,,2692,1955,737,618,119,342,15,18,1,,308,70337,69309,1535,508,1027,67774,1028,10,1018
102年 8月,78765,21307,230,3,227,122,105,277,112,165,18861,16543,2318,1813,505,,1592,1098,494,412,82,347,2,22,3,215,105,57458,56680,1088,364,724,55592,778,10,768
102年 9月,110975,28941,216,11,205,149,56,349,169,180,26120,23134,2986,2309,677,,2056,1559,497,461,36,200,15,17,3,,165,82034,81193,1327,478,849,79866,841,15,826
102年 10月,90564,32210,251,14,237,120,117,462,193,269,28892,25280,3612,2865,747,,2302,1744,558,481,77,303,12,35,11,,245,58354,57566,1545,566,979,56021,788,10,778
102年 11月,82227,34705,441,8,433,97,336,373,179,194,31738,28704,3034,2572,462,,1837,1362,475,418,57,316,5,27,14,24,246,47522,46636,1164,444,720,45472,886,4,882
102年 12月,75612,39004,270,13,257,60,197,535,262,273,35901,32372,3529,3013,516,,1907,1298,609,438,171,391,18,45,18,34,276,36608,35397,1009,441,568,34388,1211,109,1102
103年 1月,94037,44306,308,3,305,149,156,300,149,151,40856,35900,4956,4282,674,,2635,1874,761,600,161,207,2,11,30,,164,49731,49423,1594,712,882,47829,308,6,302
103年 2月,72623,20796,201,1,200,116,84,287,148,139,18368,16193,2175,1833,342,,1833,1315,518,464,54,107,1,10,1,,95,51827,51468,770,219,551,50698,359,,359
103年 3月,92562,34307,233,6,227,134,93,500,235,265,30759,26718,4041,3215,826,,2718,1956,762,603,159,97,4,7,7,,79,58255,57673,1286,405,881,56387,582,4,578
103年 4月,85232,34237,290,7,283,152,131,418,169,249,30873,26859,4014,3227,787,,2493,1801,692,553,139,163,2,31,7,,123,50995,50268,1618,606,1012,48650,727,8,719
103年 5月,88365,36725,849,9,840,123,717,485,240,245,32830,28283,4547,3853,694,,2245,1605,640,563,77,316,7,34,13,,262,51640,51125,1450,554,896,49675,515,7,508
103年 6月,104527,40317,255,4,251,136,115,432,220,212,36525,31927,4598,3912,686,,2833,1987,846,705,141,272,17,28,,,227,64210,63513,1418,667,751,62095,697,1,696
103年 7月,114064,45139,224,9,215,133,82,553,273,280,41143,36322,4821,4061,760,,2743,1964,779,687,92,476,21,38,,,417,68925,68173,1605,630,975,66568,752,1,751
103年 8月,78456,23182,181,11,170,145,25,399,191,208,20230,17727,2503,2076,427,,2179,1607,572,503,69,193,19,23,,,151,55274,54521,1552,570,982,52969,753,1,752
103年 9月,105489,34747,291,5,286,157,129,466,202,264,31013,27115,3898,3245,653,,2594,1898,696,618,78,383,13,30,4,147,189,70742,69778,1868,698,1170,67910,964,1,963
103年 10月,89677,34327,238,9,229,136,93,450,190,260,30876,27252,3624,3218,406,,2476,1848,628,586,42,287,4,29,28,25,201,55350,54417,1659,738,921,52758,933,4,929
103年 11月,77287,33948,179,1,178,84,94,377,189,188,30880,27738,3142,2924,218,,2266,1535,731,626,105,246,2,30,23,17,174,43339,42158,1109,533,576,41049,1181,,1181
103年 12月,87157,41800,222,7,215,91,124,468,252,216,38487,35080,3407,3201,206,,2260,1620,640,491,149,363,1,36,40,24,262,45357,44649,1070,508,562,43579,708,,708
104年 1月,92510,47985,214,3,211,144,67,433,198,235,44217,39027,5190,4649,541,,2953,2130,823,609,214,168,2,17,11,1,137,44525,44174,1152,578,574,43022,351,,351
104年 2月,66649,24931,248,,248,146,102,343,181,162,22827,19799,3028,2671,357,,1423,1025,398,355,43,90,,8,3,,79,41718,41147,1059,432,627,40088,571,,571
104年 3月,101995,33891,196,6,190,161,29,554,233,321,30162,26127,4035,3397,638,,2827,2074,753,662,91,152,2,19,5,,126,68104,66957,1934,743,1191,65023,1147,,1147
104年 4月,86101,34664,267,8,259,174,85,561,261,300,31052,26884,4168,3417,751,,2670,1955,715,580,135,114,2,14,4,,94,51437,50862,2099,995,1104,48763,575,,575
104年 5月,89553,34478,264,5,259,144,115,554,264,290,30870,26588,4282,3496,786,,2629,1819,810,587,223,161,2,14,21,,124,55075,54369,1648,843,805,52721,706,,706
104年 6月,111686,41244,218,8,210,127,83,589,250,339,37331,32420,4911,4171,740,,2854,1902,952,807,145,252,21,9,1,,221,70442,69792,1808,824,984,67984,650,,650
104年 7月,123025,46806,225,7,218,168,50,570,267,303,42909,37642,5267,4413,854,,2706,1891,815,651,164,396,19,22,12,,343,76219,75181,2184,1079,1105,72997,1038,,1038
104年 8月,84202,22918,177,3,174,127,47,484,251,233,20054,17608,2446,2135,311,,1712,1196,516,444,72,491,25,23,14,,429,61284,60463,2256,766,1490,58207,821,,821
104年 9月,99067,25226,307,9,298,150,148,531,213,318,21828,18815,3013,2584,429,,2206,1504,702,556,146,354,9,24,25,,296,73841,72930,2169,874,1295,70761,911,,911
104年 10月,91887,31956,244,6,238,150,88,498,200,298,27952,24583,3369,2877,492,,2710,2050,660,588,72,552,22,14,11,221,284,59931,59001,2362,947,1415,56639,930,,930
104年 11月,86148,34855,248,4,244,109,135,478,218,260,31444,28136,3308,2846,462,,2331,1732,599,514,85,354,1,39,12,12,290,51293,50220,1788,846,942,48432,1073,,1073
104年 12月,94151,41816,239,9,230,90,140,424,221,203,38380,34678,3702,3169,533,,2372,1711,661,552,109,401,9,24,63,24,281,52335,50375,1831,787,1044,48544,1960,5,1955
105年 1月,97028,47477,178,3,175,114,61,434,188,246,43394,37865,5529,4677,852,,3365,2628,737,582,155,106,1,13,3,,89,49551,49074,1559,766,793,47515,477,,477
105年 2月,71991,21560,138,1,137,78,59,227,120,107,19327,17306,2021,1728,293,,1764,1380,384,330,54,104,1,1,20,,82,50431,49887,1095,430,665,48792,544,,544
105年 3月,110193,37584,275,5,270,169,101,507,228,279,33093,29359,3734,2952,782,,3568,2784,784,656,128,141,,15,11,,115,72609,71687,1955,772,1183,69732,922,2,920
105年 4月,93863,34953,223,18,205,129,76,465,229,236,30935,27289,3646,2906,740,,3225,2440,785,565,220,105,4,11,14,,76,58910,57865,1595,751,844,56270,1045,1,1044
105年 5月,113281,37876,231,13,218,108,110,596,225,371,33547,29566,3981,3165,816,,3309,2501,808,605,203,193,2,22,4,2,163,75405,74274,2078,931,1147,72196,1131,,1131
105年 6月,125899,42752,223,11,212,82,130,499,217,282,38498,33674,4824,4077,747,,3167,2462,705,596,109,365,22,17,4,,322,83147,82471,1759,805,954,80712,676,,676
105年 7月,121766,45106,160,1,159,114,45,583,245,338,40665,36095,4570,3643,927,,3206,2434,772,665,107,492,16,17,3,,456,76660,75722,1655,684,971,74067,938,,938
105年 8月,94749,22873,247,3,244,92,152,415,224,191,19821,17552,2269,1898,371,,2119,1516,603,508,95,271,18,13,11,,229,71876,70688,1445,674,771,69243,1188,,1188
105年 9月,129109,33457,222,5,217,126,91,496,276,220,29256,25815,3441,2850,591,,2985,2344,641,530,111,498,24,11,8,194,261,95652,94543,1792,854,938,92751,1109,,1109
105年 10月,114469,35797,156,3,153,104,49,417,197,220,32258,28718,3540,2953,587,,2718,2139,579,500,79,248,2,19,29,19,179,78672,77316,1544,780,764,75772,1356,,1356
105年 11月,107162,38271,189,8,181,61,120,390,233,157,34811,31639,3172,2644,528,,2543,1856,687,559,128,338,3,23,20,22,270,68891,67333,1427,733,694,65906,1558,,1558
105年 12月,112484,41875,334,9,325,70,255,460,209,251,38188,35036,3152,2754,398,,2465,1828,637,427,210,428,2,31,19,17,359,70609,69269,1667,949,718,67602,1340,,1340
106年 1月,99214,45426,170,2,168,72,96,439,195,244,41742,36628,5114,4718,396,,2956,2318,638,482,156,119,1,4,6,,108,53788,53310,1365,718,647,51945,478,,478
106年 2月,86121,24213,155,2,153,53,100,344,138,206,21121,18951,2170,1949,221,,2497,1983,514,437,77,96,,4,3,,89,61908,61277,1238,657,581,60039,631,,631
