統計期,汽車,大客車 /自用,大客車 /營業,大客車 /營業 /遊覽車,大貨車 /自用,大貨車 /營業,小客車 /自用,小客車 /營業,小客車 /營業 /租賃,小客車 /營業 /計程車,小客車 /營業 /其他營業小客車,小貨車 /自用,小貨車 /營業,小貨車 /營業 /租賃,警備車,救護車,消防車,郵車,其他
103年 5月底,7434703,1660,31055,15542,92867,69740,6101614,194594,107087,87507,,847473,34528,21616,1885,2116,2968,2714,51489
103年 6月底,7457061,1673,30780,15597,93042,69751,6120386,196368,108770,87598,,849049,34775,21764,1900,2120,2944,2711,51562
103年 7月底,7479775,1669,30880,15648,93151,69799,6139823,198006,110338,87668,,850235,34885,21852,1898,2133,2939,2709,51648
103年 8月底,7487105,1674,30920,15723,93234,69810,6145538,198376,110720,87656,,851505,34934,21899,1888,2144,2937,2703,51442
103年 9月底,7502129,1670,31012,15816,93276,69848,6158112,199123,111369,87754,,852719,35110,22045,1886,2153,2927,2848,51445
103年 10月底,7517904,1663,31121,15897,93339,69897,6171994,199545,111795,87750,,853803,35213,22171,1877,2150,2944,2864,51494
103年 11月底,7536322,1658,31200,15922,93464,69889,6188372,200210,112490,87720,,854678,35463,22352,1876,2168,2957,2816,51571
103年 12月底,7554319,1661,31267,15952,93563,69883,6205246,200532,112889,87643,,855191,35512,22298,1873,2165,2988,2800,51638
104年 1月底,7580535,1657,31310,16011,93647,69863,6228131,202610,114901,87709,,856207,35842,22485,1869,2163,2965,2758,51513
104年 2月底,7590182,1651,31456,16089,93755,69915,6236050,203750,116090,87660,,856541,35908,22524,1868,2153,2955,2756,51424
104年 3月底,7599347,1646,31537,16180,93823,69969,6243938,203614,116194,87420,,857755,35977,22598,1866,2152,2935,2753,51382
104年 4月底,7609531,1655,31637,16290,93898,70052,6252152,204077,116763,87314,,858964,36097,22663,1864,2149,2925,2739,51322
104年 5月底,7626383,1651,31723,16362,94105,70186,6265840,205294,117961,87333,,860321,36243,22650,1854,2143,2926,2735,51362
