統計期,汽車,大客車 /自用,大客車 /營業,大客車 /營業 /遊覽車,大貨車 /自用,大貨車 /營業,小客車 /自用,小客車 /營業,小客車 /營業 /租賃,小客車 /營業 /計程車,小客車 /營業 /其他營業小客車,小貨車 /自用,小貨車 /營業,小貨車 /營業 /租賃,警備車,救護車,消防車,郵車,其他
95年 2月底,5517391,1357,17362,7228,79747,64827,4552955,62880,9752,53128,,687074,9964,672,1497,,2236,1536,35956
95年 3月底,5522666,1334,17425,7277,79927,64989,4556082,62912,9769,53143,,688749,10013,674,1493,,2235,1532,35975
95年 4月底,5526133,1325,17488,7379,80030,65028,4557859,62851,9772,53079,,690338,10067,685,1492,,2236,1530,35889
95年 5月底,5534453,1328,17517,7394,80226,65087,4563983,62956,9879,53077,,692094,10125,716,1487,,2240,1528,35882
95年 6月底,5541942,1329,17532,7408,80503,65075,4569652,63123,10101,53022,,693446,10074,700,1480,,2239,1526,35963
95年 7月底,5552176,1321,17640,7529,80617,65071,4578288,63180,10173,53007,,694674,10061,704,1490,,2246,1558,36030
95年 8月底,5550963,1322,17710,7580,80684,65210,4576450,62913,10076,52837,,695341,10026,700,1475,,2241,1626,35965
95年 9月底,5557006,1321,17715,7628,80815,65160,4581132,62817,10090,52727,,696545,10167,728,1474,,2254,1613,35993
95年 10月底,5555819,1320,17770,7658,80949,65044,4579885,62667,10048,52619,,696864,10143,739,1476,,2260,1569,35872
95年 11月底,5560994,1320,17839,7700,81148,64841,4584453,62496,10021,52475,,697616,10111,741,1471,,2267,1554,35878
95年 12月底,5566318,1321,17867,7669,81370,64720,4589397,62300,9951,52349,,698199,10040,737,1464,,2282,1548,35810
96年 1月底,5578145,1323,17793,7640,81561,64436,4600103,62332,10033,52299,,699290,10093,746,1599,,2265,1546,35804
96年 2月底,5582526,1321,17898,7722,81609,64368,4604111,62441,10144,52297,,699473,10078,741,1595,,2277,1542,35813
96年 3月底,5580640,1314,17820,7680,81698,64217,4601805,62094,9984,52110,,700482,10003,748,1599,,2286,1541,35781
96年 4月底,5577326,1318,17799,7677,81708,64082,4598266,61968,9941,52027,,700957,9978,746,1598,,2268,1536,35848
96年 5月底,5579697,1322,17722,7669,81865,63931,4599887,61847,9918,51929,,702006,9827,751,1596,,2253,1534,35907
96年 6月底,5582364,1322,17728,7670,81934,63749,4602376,61716,9891,51825,,702227,9824,804,1618,,2250,1686,35934
96年 7月底,5582143,1323,17713,7668,81909,63431,4602840,61544,9840,51704,,701984,9863,815,1611,,2242,1666,36017
96年 8月底,5580390,1318,17706,7662,81870,63208,4601731,61448,9835,51613,,701829,9870,815,1608,,2234,1604,35964
96年 9月底,5583109,1322,17647,7643,81923,62876,4604354,61330,9780,51550,,702532,9843,813,1604,,2240,1586,35852
96年 10月底,5582840,1320,17688,7629,81905,62645,4604706,61191,9752,51439,,702266,9863,814,1606,,2245,1584,35821
96年 11月底,5587389,1318,17682,7615,82008,62382,4608918,61154,9801,51353,,702897,9809,816,1611,,2263,1581,35766
96年 12月底,5590034,1318,17650,7647,82088,62180,4611671,61020,9761,51259,,703076,9759,821,1609,,2282,1569,35812
97年 1月底,5597949,1311,17561,7582,82144,61885,4618984,61302,10003,51299,,703766,9810,825,1600,,2272,1563,35751
97年 2月底,5595347,1309,17511,7559,82127,61752,4616842,61214,9995,51219,,703679,9774,822,1598,,2281,1562,35698
97年 3月底,5595671,1306,17532,7606,82247,61667,4616435,61038,9927,51111,,704493,9777,820,1602,,2275,1555,35744
97年 4月底,5589777,1293,17510,7583,82344,61419,4610468,60986,9957,51029,,704877,9712,816,1603,,2278,1554,35733
97年 5月底,5586463,1292,17548,7637,82375,61067,4607957,60280,9301,50979,,705117,9617,693,1608,,2275,1551,35776
97年 6月底,5579713,1286,17504,7593,82450,60802,4601355,60318,9375,50943,,705056,9595,707,1621,,2265,1549,35912
97年 7月底,5572917,1285,17455,7582,82326,60445,4595582,60538,9567,50971,,704491,9484,702,1611,,2269,1539,35892
97年 8月底,5567208,1285,17438,7590,82268,60265,4590947,60300,9438,50862,,704061,9460,708,1602,,2270,1534,35778
97年 9月底,5564223,1283,17477,7628,82268,60085,4588428,60215,9378,50837,,704035,9455,713,1600,,2270,1618,35489
97年 10月底,5563929,1292,17488,7658,82254,59893,4588542,60181,9327,50854,,704111,9399,722,1594,,2275,1581,35319
97年 11月底,5563111,1284,17510,7660,82167,59701,4588344,60017,9204,50813,,703996,9393,735,1593,,2281,1596,35229
97年 12月底,5562054,1279,17605,7681,82177,59511,4587599,60019,9178,50841,,703728,9429,745,1589,,2298,1638,35182
98年 1月底,5567109,1273,17607,7673,82169,59377,4592786,60218,9299,50919,,703563,9477,769,1579,,2299,1615,35146
98年 2月底,5562977,1271,17601,7694,82127,59072,4588777,60325,9427,50898,,703896,9399,786,1575,,2295,1602,35037
98年 3月底,5559691,1269,17556,7661,82119,58839,4585707,60335,9414,50921,,704188,9263,793,1571,,2301,1590,34953
98年 4月底,5558379,1267,17564,7677,82110,58600,4583925,60404,9410,50994,,704846,9260,819,1568,,2292,1590,34953
98年 5月底,5560287,1270,17557,7676,82165,58384,4585349,60449,9419,51030,,705442,9235,854,1554,,2287,1589,35006
98年 6月底,5564060,1266,17601,7713,82249,58089,4588384,60512,9473,51039,,706013,9438,1053,1564,,2280,1589,35075
98年 7月底,5571304,1261,17569,7704,82270,57911,4594912,60635,9617,51018,,706590,9457,1066,1569,,2279,1622,35229
98年 8月底,5570403,1264,17521,7697,82301,57881,4593951,60623,9649,50974,,706646,9539,1102,1557,,2279,1606,35235
98年 9月底,5570027,1265,17505,7686,82310,57863,4593299,60556,9709,50847,,707055,9712,1143,1550,,2277,1594,35041
98年 10月底,5576012,1266,17488,7690,82395,57761,4597992,60687,9900,50787,,707853,9821,1233,1553,1805,2283,1647,33461
98年 11月底,5584974,1262,17542,7718,82579,57586,4605861,60615,9892,50723,,708882,9897,1321,1554,1805,2292,1620,33479
98年 12月底,5600672,1449,17647,7740,82501,57498,4619077,60853,10160,50693,,709734,11443,2412,1545,1818,2293,1614,33200
99年 1月底,5610815,1433,17645,7729,82623,57491,4628609,60938,10264,50674,,710172,11569,2493,1548,1804,2281,1610,33092
99年 2月底,5615702,1432,17703,7737,82644,57460,4633037,61020,10418,50602,,710447,11643,2547,1564,1806,2280,1604,33062
99年 3月底,5616157,1425,17743,7774,82705,57365,4632788,61014,10496,50518,,711206,11668,2567,1571,1808,2277,1603,32984
99年 4月底,5620712,1427,17812,7822,82765,57412,4635654,61198,10724,50474,,712363,11788,2651,1565,1801,2282,1602,33043
99年 5月底,5626625,1420,17870,7885,82912,57400,4639986,61320,10883,50437,,713437,11911,2731,1565,1798,2274,1601,33131
