name,description
103年汽車貨運調查原始資料,
103年汽車貨運調查變數名稱,
104年汽車貨運調查原始資料,
104年汽車貨運調查變數名稱,
105年汽車貨運調查原始資料,
105年汽車貨運調查變數名稱,
106年汽車貨運調查原始資料,
106年汽車貨運調查變數名稱,
107年汽車貨運調查原始資料,
107年汽車貨運調查變數名稱,
108年汽車貨運原始資料,
108年汽車貨運變數名稱,
109年汽車貨運調查原始資料,
109年汽車貨運變數名稱,
