"REPORTINGPRODUCTGROUP","COUNTRY","REPORTINGCHANNEL","Period","Item","BRAND","REGION","BRIDGESTONE TYPE","DIMENSION (Truck Tyres)","RIMDIAMET.'/MM","WIDTH IN INCH","WIDTH IN MM","ASPECT RATIO","TUBE / TUBLESS","LOADINDEX","SPEEDINDEX","FirstActivity","SALES UNITS","SALES <LC>","PRICE TWD/UN."
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","LANDY TIRE DT966","UNBRANDED","SOUTH TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","UNKNOWN","UNKNOWN","APRIL 2017",70.40000000,492800.00000000,7000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","LLA58","LINGLONG","CENTRAL TAIWAN","TBR","11.00/20","20'","11","N.A.","N.A.","TL","UNKNOWN","L (-120KM)","FEBRUARY 2018",22.82564900,205430.84100002,9000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","LM-R217","ROADLUX","CENTRAL TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","156","M (-130KM)","MARCH 2020",89.72217750,628055.24250000,7000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","LM329","LONGMARCH","CENTRAL TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","156","M (-130KM)","FEBRUARY 2020",17.62500000,132187.50000000,7500.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","M729","BRIDGESTONE","NORTH TAIWAN","TBR","12.00/22.5","22.5""","12","N.A.","N.A.","TL","152","L (-120KM)","OCTOBER 2016",67.20000000,907200.00000000,13500.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","M729","BRIDGESTONE","SOUTH TAIWAN","TBR","12.00/22.5","22.5""","12","N.A.","N.A.","TL","152","L (-120KM)","OCTOBER 2016",140.00000000,1680000.00000000,12000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","M729","BRIDGESTONE","CENTRAL TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","154","M (-130KM)","OCTOBER 2016",123.56366125,1694073.07170000,13710.12362828
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","M729","BRIDGESTONE","NORTH TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","154","M (-130KM)","OCTOBER 2016",55.00000000,825000.00000000,15000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","M729","BRIDGESTONE","SOUTH TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","154","M (-130KM)","OCTOBER 2016",378.33324800,5372832.09600000,14201.32151854
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","M729","BRIDGESTONE","TAIPEI CITY","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","154","M (-130KM)","OCTOBER 2016",22.00000000,341000.00000000,15500.00000000
