客戶代號,客戶,大通路,大分類,小通路,區域,營業所
H0G1E001,弘成輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0G1E004,豪輪企業社,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0G1E018,台裕汽車行,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0G1E021,欣興輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0G1E064,國益汽車修配廠,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1A004,宏達輪胎有限公司,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1A005,順仕輪胎有限公司,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1A037,立展輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1A062,上綸輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1A071,中港輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1A091,輪堡有限公司,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1B002,昶鈦輪業有限公司,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1B028,長圓輪胎有限公司,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1B031,益昌輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1B033,忠晟輪胎有限公司,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1B034,東海汽車配件行,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1B035,全泰輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1B075,鎰錩事業有限公司,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1C030,連順汽車輪胎修配廠,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1D002,金昌輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1D014,新泰輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1D018,權鴻輪業有限公司,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1D021,勇成輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1D035,永裕輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1D041,超群輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1E004,台鉉有限公司,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1E029,吉春輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1E044,利全輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1E058,駿鎧輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
H0H1E059,藝統輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
I1I1A004,泰全輪胎五金有限公司,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1A005,金山記工業社,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1A020,和慶汽車輪胎修補廠,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1A030,花旗輪胎配件行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1A036,樟樺輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1A051,久益輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1A066,國豐輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1A080,佑鑫汽車實業社,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1B001,新龍興輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1B006,安全輪胎企業有限公司,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1B010,信輪輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1B020,榮輝輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1B026,協利汽車輪胎修配廠,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1B035,駿昌輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1B038,立益輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1B042,榮隆輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1B069,明新輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1B070,尚益汽車百貨精品行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1B082,元翔輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1B101,宏明輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1B130,吉順輪胎企業社,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1C011,新東泰輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1C016,安泰輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1C019,自成輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1C020,大聖汽車服務廠,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1C021,立安輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1C023,和村輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1C024,邱永興輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1C029,冠翌汽車有限公司,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1C035,世鋒汽車修配廠,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1C036,棨南汽車修配廠,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1C041,泰新輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1C044,振裕輪業有限公司,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1C068,健業輪胎,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1C078,大方輪胎定位,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1D004,健誠輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1D011,達欣輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1D020,協信汽車百貨行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1D021,宏吉輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1D023,建成輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1D030,富揚輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1D033,吉利來輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1D037,良興輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1D074,動力特區汽車百貨行,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1D076,順達企業社,BSSC,BSSC,一般店,"台中_x000D_
",員林
I1I1D081,上盈定位輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",員林
J1J10113,興達汽車零件店,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
J1J10123,新東泰輪胎行,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
J1J10144,佳興汽車車業行,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
J1J10161,明泰輪胎百貨行,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
J1J10206,華興輪胎行,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
J1J10237,元泰輪胎行,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
J1J10274,彰彬輪胎行,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
J1J10275,鑫貳源輪胎行,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
J1J10311,順成輪胎行,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
J1J10336,大明汽車修護廠,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
J1J10357,翔泰汽車輪胎行,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
J1J10494,國榮輪胎行,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
J1J10510,源泰輪胎打油行,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
J1J10685,三立汽車材料行,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
J1J10711,順豐輪胎行,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
J1J10744,翔福企業社,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
J1J10764,豐銘壹輪胎行,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
K1K10010,昌勝汽車輪胎有限公司,BSSC,BSSC,一般店,"台南_x000D_
",台南
K1K10012,新泓源輪胎行,BSSC,BSSC,一般店,"台南_x000D_
",台南
K1K10029,登昌輪胎行,BSSC,BSSC,一般店,"台南_x000D_
",台南
K1K10121,永順輪胎行,BSSC,BSSC,一般店,"台南_x000D_
",台南
K1K10126,永順汽車修配所,BSSC,BSSC,一般店,"台南_x000D_
",台南
K1K10128,鴻興輪胎行,BSSC,BSSC,一般店,"台南_x000D_
",台南
K1K10153,雲慶企業社,BSSC,BSSC,一般店,"台南_x000D_
",台南
K1K10211,宏奇輪胎有限公司,BSSC,BSSC,一般店,"台南_x000D_
",台南
K1K10254,正彬輪胎有限公司,BSSC,BSSC,一般店,"台南_x000D_
",台南
K1K10268,長益輪胎行,BSSC,BSSC,一般店,"台南_x000D_
",台南
K1K10294,楷昕企業行,BSSC,BSSC,一般店,"台南_x000D_
",台南
K1K10305,良行輪胎行,BSSC,BSSC,一般店,"台南_x000D_
",台南
K1K10308,豐昇輪胎有限公司,BSSC,BSSC,一般店,"台南_x000D_
",台南
K1K10385,蒲田有限公司,BSSC,BSSC,一般店,"台南_x000D_
",台南
L1L1A002,六翕輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1A015,志昇輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1A031,東昇行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1A063,榮誠企業行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1A071,金佰利輪胎有限公司,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1B054,輪胎世家有限公司,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1B076,和維實業股份有限公司,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1B081,松田汽車企業行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1C061,東哥輪胎有限公司,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1C096,禎薪輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1C097,協昇汽車有限公司,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1C105,坤展輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1C106,聯豐宇汽車零件維檢社,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1E011,冠威企業行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1E012,新力輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1E045,永益輪企業有限公司,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1E070,新格輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1F001,達成輪胎企業行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1F004,穎達輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1F035,益山輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1F057,長春輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1F073,大中輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1F087,九勁有限公司,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1G019,大順昌輪胎有限公司,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1G031,統全汽車企業行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
H0G1B001,利丞輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
L1L1H013,弘揚輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
N1N1B011,榮昌輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",屏東
N1N1B014,大和輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",屏東
N1N1B025,合陽汽車修配廠,BSSC,BSSC,一般店,"高雄_x000D_
",屏東
N1N1B027,日順輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",屏東
N1N1B028,信陽輪胎服務場,BSSC,BSSC,一般店,"高雄_x000D_
",屏東
N1N1B031,聯勝企業行,BSSC,BSSC,一般店,"高雄_x000D_
",屏東
N1N1B053,精緻汽車企業社,BSSC,BSSC,一般店,"高雄_x000D_
",屏東
N1N1B067,仁宏輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",屏東
N1N1B125,榮穩輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",屏東
N1N1B142,瑞宏企業社,BSSC,BSSC,一般店,"高雄_x000D_
",屏東
N1N1C002,德榮輪胎修理處,BSSC,BSSC,一般店,"高雄_x000D_
",屏東
N1N1C012,永成輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",屏東
N1N1C032,佳興定位輪胎企業社,BSSC,BSSC,一般店,"高雄_x000D_
",屏東
N1N1D013,三益輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",屏東
N1N1A012,鴻泰輪胎有限公司,BSSC,BSSC,一般店,"高雄_x000D_
",屏東
N1N1A027,昆豐輪胎店,BSSC,BSSC,一般店,"高雄_x000D_
",屏東
N1N1A059,昱勝企業社,BSSC,BSSC,一般店,"高雄_x000D_
",屏東
C2B10942,益豐-倉庫,BSSC,BSSC,一般店,"北區_x000D_
",蘆洲
F1F10057,正益,BSSC,BSSC,一般店,"北區_x000D_
",頭份
J1J10364,順正,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
C1A10346,千益輪胎行,BSSC,BSSC,一般店,"北區_x000D_
",鶯歌
L1L1B047,來興輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
N1N1C018,國成輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",屏東
K1K10177,冠中輪胎行,BSSC,BSSC,一般店,"台南_x000D_
",台南
E1E10242,德安輪胎行,BSSC,BSSC,一般店,"北區_x000D_
",桃園
C1C10041,中山輪胎行,BSSC,BSSC,一般店,"北區_x000D_
",鶯歌
C1C10112,東勝輪胎有限公司,BSSC,BSSC,一般店,"北區_x000D_
",鶯歌
C1C10184,威?有限公司,BSSC,BSSC,一般店,"北區_x000D_
",鶯歌
C2A10052,驊慶有限公司,BSSC,BSSC,一般店,"北區_x000D_
",蘆洲
F1F10518,享冠實業社,BSSC,BSSC,一般店,"北區_x000D_
",桃園
H0G1C030,塑騰貿易有限公司,BSSC,BSSC,一般店,"台中_x000D_
",台中
J1J10268,上順車業行,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
K1K10137,中一輪胎行,BSSC,BSSC,一般店,"台南_x000D_
",台南
L1L1C081,建璋汽車企業行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
I1I1B002,宏仁,BSSC,BSSC,一般店,"台中_x000D_
",員林
C2A10088,辰鑫,BSSC,BSSC,一般店,"北區_x000D_
",蘆洲
C2A10207,永信,BSSC,BSSC,一般店,"北區_x000D_
",蘆洲
F1F10131,正新,BSSC,BSSC,一般店,"台中_x000D_
",頭份
H0G1C011,久豐,BSSC,BSSC,一般店,"台中_x000D_
",台中
L1L1D057,有進汽車,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
I1I1A046,宏基,BSSC,BSSC,一般店,"台中_x000D_
",員林
J1J10112,吉興,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
K1K10053,東興,BSSC,BSSC,一般店,"台南_x000D_
",台南
N1N1A022,南台,BSSC,BSSC,一般店,,
H0G1C032,大眾,BSSC,BSSC,一般店,"台中_x000D_
",台中
C2B10320,蘆洲三民,BSSC,BSSC,一般店,"北區_x000D_
",蘆洲
H0G1A016,宏記,BSSC,BSSC,一般店,"台中_x000D_
",台中
K1K10376,車之寶,BSSC,BSSC,一般店,"台南_x000D_
",台南
L1L1D013,瑞成,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
C1C10094,蘆洲輪胎有限公司,BSSC,BSSC,一般店,"北區_x000D_
",鶯歌
H0H1B024,展利,BSSC,BSSC,一般店,"台中_x000D_
",台中
C2A10475,金城汽車材料行,BSSC,BSSC,一般店,"北區_x000D_
",蘆洲
H0G1C020,永豐輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
L1L1G046,宏欣輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
C2B10560,宗圓,BSSC,BSSC,一般店,"北區_x000D_
",蘆洲
K1K11020,昌奕,BSSC,BSSC,一般店,"台南_x000D_
",台南
J1J10208,南光輪胎行,BSSC,BSSC,一般店,"嘉義_x000D_
",嘉義
L1L1B082,信蒼輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
H0H1E039,順瑩輪胎行,BSSC,BSSC,一般店,"台中_x000D_
",台中
C1C10758,豪普_百樂達,BSSC,BSSC,一般店,"北區_x000D_
",鶯歌
I1I1C017,佳裕,BSSC,BSSC,一般店,"台中_x000D_
",員林
C1C10287,榮昌輪胎行,BSSC,BSSC,一般店,"北區_x000D_
",鶯歌
E1E10091,永全輪胎行,BSSC,BSSC,一般店,"北區_x000D_
",桃園
F1F10517,泰順輪胎行,BSSC,BSSC,一般店,"北區_x000D_
",頭份
L1L1C015,明祿企業社,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
L1L1C062,大東輪胎行,BSSC,BSSC,一般店,"高雄_x000D_
",高雄
C1C10029,轙?汽車商行,BSSC,BSSC,一般店,"北區_x000D_
",鶯歌
E1E10009,永隆汽車商行,BSSC,BSSC,一般店,"北區_x000D_
",桃園
C2B10228,源祥企業社,BSSC,BSSC,一般店,"北區_x000D_
",蘆洲
F1F10489,華隆汽車修理股份有限公司,BSSC,BSSC,一般店,"北區_x000D_
",頭份
BC101011,捷順,FLT-REP,BSFC,FLT-REP,本社,
BC101012,亞東,FLT-REP,BSFC,FLT-REP,本社,
BC101014,盛星,FLT-REP,BSFC,FLT-REP,本社,
BC101015,太魯閣,FLT-REP,BSFC,FLT-REP,本社,
BC101016,雲林,FLT-REP,BSFC,FLT-REP,本社,
BC101017,阿里山,FLT-REP,BSFC,FLT-REP,本社,
BC101018,創奕REP,FLT-REP,BSFC,FLT-REP,本社,
BC105013,台塑,FLT-REP,BSFC,FLT-REP,本社,
BC105014,台塑汽車,FLT-REP,BSFC,FLT-REP,本社,
BC105022,台化,FLT-REP,BSFC,FLT-REP,本社,
BC106013,汎航,FLT-REP,BSFC,FLT-REP,本社,
BC108036,阿羅哈,FLT-REP,BSFC,FLT-REP,本社,
BC108037,長榮,FLT-REP,BSFC,FLT-REP,本社,
BC108040,敦峰,FLT-REP,BSFC,FLT-REP,本社,
BC108041,龍福,FLT-REP,BSFC,FLT-REP,本社,
BC109018,南亞塑膠,FLT-REP,BSFC,FLT-REP,本社,
BC111010,基隆客運,FLT-REP,BSFC,FLT-REP,本社,
BC111012,艾瑪,FLT-REP,BSFC,FLT-REP,本社,
BC111013,國光,FLT-REP,BSFC,FLT-REP,本社,
BC112014,統聯,FLT-REP,BSFC,FLT-REP,本社,
BC113027,經濟,FLT-REP,BSFC,FLT-REP,本社,
BC113029,塑化,FLT-REP,BSFC,FLT-REP,本社,
BC113030,強本,FLT-REP,BSFC,FLT-REP,本社,
BC101005,眾鈴,FLT-REP,BSFC,FLT-REP,本社,
BC101006,富民,FLT-REP,BSFC,FLT-REP,本社,
BC101008,東聯,FLT-REP,BSFC,FLT-REP,本社,
BC101009,亞泥,FLT-REP,BSFC,FLT-REP,本社,
BC108039,金龍汽車,FLT-REP,BSFC,FLT-REP,本社,
BC101010,華德動能,OE,BSFC,FLT-OE,本社,
BC101013,凱勝綠能,OE,BSFC,FLT-OE,本社,
BC105016,臺塑,OE,BSFC,FLT-OE,本社,
BC106015,成運,OE,BSFC,FLT-OE,本社,
BC106016,斯堪尼亞,OE,BSFC,FLT-OE,本社,
BC108042,金龍OE,OE,BSFC,FLT-OE,本社,
BC109020,沃爾沃,OE,BSFC,FLT-OE,本社,
BC109021,沃爾沃保養廠,OE,BSFC,FLT-OE,本社,
BC111017,乾佑,OE,BSFC,FLT-OE,本社,
BC113032,群翔,OE,BSFC,FLT-OE,本社,
BC113033,群翔上稅,OE,BSFC,FLT-OE,本社,
BC101019,創奕能源科技股份有限公司,OE,BSFC,FLT-OE,本社,
C1X0C1H1,和泰汽車股份有限公司,BSSC,BSSC,CD,"北區_x000D_
",鶯歌
E1X0E1C1,福特六和汽車股份有限公司,BSSC,BSSC,CD,"北區_x000D_
",桃園
C2X0C2E1,台灣速霸陸股份有限公司,BSSC,BSSC,CD,"北區_x000D_
",蘆洲
E1X0E1A1,中華汽車工業股份有限公司楊梅廠,BSSC,BSSC,CD,"北區_x000D_
",桃園
F1F10345,裕益汽車股份有限公司,BSSC,BSSC,CD,"台中_x000D_
",頭份
H0H1A090,旭益汽車實業股份有限公司,BSSC,BSSC,CD,"台中_x000D_
",台中
H0H1D011,旭益汽車實業股份有限公司,BSSC,BSSC,CD,"台中_x000D_
",台中
I1I1A032,旭益汽車實業股份有限公司,BSSC,BSSC,CD,"台中_x000D_
",員林
C0X0C0F1,裕益汽車彙開,BSSC,BSSC,CD,"北區_x000D_
",鶯歌
C1C10059,慶康實業股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",鶯歌
C1C10101,至遠企業股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",鶯歌
C1C10147,同達興實業股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",鶯歌
C1C10160,竣達實業股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",鶯歌
C1C10540,大漢混凝土股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",鶯歌
C1C10562,龍翔貨櫃運輸股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",鶯歌
C1X0C1K1,統一東京股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",台中
C2A10048,龍福國際股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",蘆洲
C2A10054,三重汽車客運股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",鶯歌
C2A10126,欣欣客運股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",蘆洲
C2A10133,明廣行,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",蘆洲
C2A10145,碧國企業有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",蘆洲
C2A10465,福和客運股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",蘆洲
C2A10535,新實運輸股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",蘆洲
C2A10536,新速運輸倉儲股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",蘆洲
C2A10538,東亞運輸倉儲股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",蘆洲
C2A10550,隆福行股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",蘆洲
C2A10573,中華航空股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",蘆洲
C2B10724,葛瑪蘭汽車客運股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",蘆洲
C2B10761,長快物流有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",蘆洲
C2B10765,漢鴻交通有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",蘆洲
C2X0C2D1,統一速達股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",蘆洲
E1E10022,環穩通運股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10030,北方汽車運輸股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10071,同一股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10086,中壢汽車客運股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10095,宏駿交通有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10103,泛台貨櫃運輸股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10104,樺台通運股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10108,通通汽車貨櫃運輸股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10109,快順倉儲交通股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10110,益台通運股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10112,松騏通運有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10115,隆祥通運股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10152,尚立通運股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10153,紳立通運股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10173,通德大汽車貨運(股)公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10177,山立通運股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10188,東立通運股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10259,金馬貨櫃運輸股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10261,威軍交通有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10338,通得汽車貨櫃運輸(股)公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10469,伍興交通企業股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10527,銘鴻交通股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
E1E10590,金車物流股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
F1F10068,隆源運輸股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"台中_x000D_
",頭份
F1F10096,通榮汽車貨運有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",頭份
F1F10147,輝宇通運股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"台中_x000D_
",頭份
F1F10397,佳霖貨櫃貨運股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",頭份
F1F10400,苗栗汽車客運股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",頭份
F1F10429,順華交通股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"台中_x000D_
",頭份
F1F10461,紳騏企業有限公司,BSSC-FLT,BSSC,BSSC-FLT,"台中_x000D_
",頭份
F1F10478,大甲重機托運行,BSSC-FLT,BSSC,BSSC-FLT,"台中_x000D_
",頭份
F1F10488,立城輪胎股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"台中_x000D_
",頭份
F1F10512,偉富起重工程行,BSSC-FLT,BSSC,BSSC-FLT,"台中_x000D_
",頭份
F1F10513,全通榮汽車貨運股份有限公司,BSSC-FLT,BSSC,BSSC-FLT,"北區_x000D_
",桃園
H0G1A013,欣晨交通有限公司,BSSC-FLT,BSSC,BSSC-FLT,"台中_x000D_
",台中
